Test name	Type	timeMin	ReqCou	GrCou	Max TP	softOR	StWdsFlt	TruePositive	Precision	Recall	Accuracy	Error	F-measure	APres@5	APres@10	APres@20	APres@50	AveragePres	nDCG@5	nDCG@10	nDCG@20	nDCG@50	nDCG	MRR
как открыть вклад	InfoSearch	1.0	5312	85	70	0	False	70	0.8235	1.0	0.9994	0.0006	0.9032	0.6	0.3944	0.3322	0.5176	0.6077	0.7227	0.5989	0.5662	0.7351	0.7909	1.0
как открыть вклад	InfoSearch&W2V(avg)	8.84	224930	127	70	0,7	False	5	0.0588	0.0714	0.9945	0.0055	0.0645	0.0	0.0167	0.0083	0.0102	0.0069	0.0	0.0784	0.0506	0.0769	0.062	0.1667
как открыть вклад	InfoSearch&W2V(avg10)	7.8	224930	127	70	0,7	False	9	0.1059	0.1286	0.9948	0.0052	0.1161	0.2	0.13	0.0924	0.0446	0.0297	0.3601	0.2973	0.2611	0.1727	0.1377	0.5
как открыть вклад	InfoSearch&W2V(max)	8.02	224930	127	70	0,7	False	41	0.4824	0.5857	0.9972	0.0028	0.529	0.6	0.4796	0.5057	0.5467	0.3565	0.7227	0.6754	0.7187	0.7329	0.5511	1.0
как открыть вклад	InfoSearch&W2V(stopW+avg)	5.91	224930	127	70	0,7	False	8	0.0941	0.1143	0.9947	0.0053	0.1032	0.0	0.0	0.0045	0.0084	0.0094	0.0	0.0	0.0396	0.0705	0.0839	0.0909
как открыть вклад	InfoSearch&W2V(stopW+max)	10.83	224930	127	70	0,7	False	36	0.4235	0.5143	0.9968	0.0032	0.4645	0.6	0.4796	0.5057	0.5469	0.3217	0.7227	0.6754	0.7187	0.733	0.5069	1.0

Что может помешать выплатить мне кредит досрочно?	InfoSearch	0.18	719	58	273	0,4	True	41	0.7069	0.1502	0.9905	0.0095	0.2477	0.6433	0.3717	0.4692	0.4585	0.4801	0.786	0.5737	0.6885	0.6764	0.6958	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg)	1.77	23907	87	273	0,7	True	25	0.431	0.0916	0.9893	0.0107	0.1511	0.2	0.1819	0.2003	0.1778	0.1888	0.3601	0.3693	0.414	0.3943	0.4162	0.5
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(avg10)	1.77	23907	87	273	0,7	True	27	0.4655	0.0989	0.9895	0.0105	0.1631	0.05	0.025	0.0763	0.1534	0.1714	0.1461	0.0948	0.2402	0.37	0.3945	0.25
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(max)	1.72	23907	87	273	0,7	True	56	0.9655	0.2051	0.9917	0.0083	0.3384	1.0	1.0	0.9253	0.9256	0.9308	1.0	1.0	0.9616	0.9641	0.9675	1.0
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+avg)	1.38	23907	87	273	0,7	True	11	0.1897	0.0403	0.9882	0.0118	0.0665	0.0	0.0389	0.0373	0.0394	0.0374	0.0	0.1447	0.1586	0.1765	0.1714	0.1667
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+max)	2.46	23907	87	273	0,7	True	42	0.7241	0.1538	0.9906	0.0094	0.2538	1.0	1.0	0.8777	0.6358	0.6352	1.0	1.0	0.9296	0.7705	0.7808	1.0

Что может помешать выплатить мне кредит досрочно?	InfoSearch	1.27	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	1.0	1.0	1.0	0.9678	0.9186	1.0	1.0	1.0	0.9839	0.9525	1.0
